Company name,Website,City / Location,Segment,What they make,Revenue band (estimate),Decision-maker,E1: Producer,E2: Accessible,C3: Differentiated,C4: Decision-Maker Quality,C5: Growing Sector,C6: Growth Signals,C7: Systems Maturity,C8: Leadership Succession,Overall Federer Score,Overall verdict,Personalization hook
Varenyam Biologics,varenyam.com,Ahmedabad,Basket A - Specialty Biotech,Industrial enzymes and fermentation products,Rs.30-100Cr,Dr. S. Shah (Founder),PASS - Operates specialized biological fermentation bioreactors.,PASS - Ahmedabad HQ.,Strong (20),Strong (15),Strong (15),Moderate (8),Moderate (10),Moderate (8),76 - B Band,Fit,Leveraging specialized fermentation tech to develop high-yield industrial enzymes.
Astron Zircon,astronzircon.com,Ahmedabad,Basket A - Specialty Chem,Zirconium chemicals and rare earth derivatives,Rs.50-100Cr,P. Patel (MD),PASS - Mineral processing and chemical extraction facility.,PASS - Ahmedabad HQ.,Strong (20),Strong (15),Moderate (8),Moderate (8),Moderate (10),Moderate (8),69 - B Band,Fit,Highly differentiated extraction processes for producing advanced Zirconium derivatives.
Bhagwati Autocast,bhagwatiautocast.com,Ahmedabad,Basket C - Precision Engineering,High-duty grey iron and ductile iron castings,Rs.100-300Cr,Dr. P. Bhagwati (MD),PASS - Operates automated foundry and pouring lines.,PASS - Ahmedabad HQ.,Moderate (10),Strong (15),Strong (15),Moderate (8),Strong (20),Strong (15),83 - A Band,Strong Fit,Excellent structural management of your high-pressure molding lines for complex auto castings.
Zeus Engitech,zeusengitech.com,Ahmedabad,Basket C - Precision Engineering,Bulk material handling automation and specialized conveyors,Rs.30-100Cr,S. Kothari (Director),PASS - Assembly and mechanical fabrication plant.,PASS - Ahmedabad HQ.,Moderate (10),Moderate (8),Strong (15),Moderate (8),Strong (20),Moderate (8),69 - B Band,Fit,Engineering specialized bulk material handling solutions for complex industrial layouts.
Siddhi Engineers,siddhiengineers.com,Ahmedabad,Basket C - Precision Engineering,Cold-drawn seamless aluminum and brass tubes,Rs.30-100Cr,R. Patel (MD),PASS - Specialized cold-drawing and extrusion lines.,PASS - Ahmedabad HQ.,Moderate (10),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),59 - C Band,Borderline,Maintaining tight geometric tolerances across your cold-drawn seamless tubing lines.
Asence Pharma,asence.com,Ahmedabad,Basket B - Complex APIs,Regulated generic APIs and sterile formulations,Rs.50-100Cr,M. Sarabhai (Director),PASS - Operates sterile formulation and API plants.,PASS - Ahmedabad HQ.,Strong (20),Strong (15),Strong (15),Moderate (8),Strong (20),Moderate (8),86 - A Band,Strong Fit,Rigorous execution of quality audits across your sterile formulation and API pipelines.
Shreeji Pharma,shreejipharma.com,Ahmedabad,Basket B - Complex APIs,Active pharma ingredients and excipients,Rs.30-100Cr,V. Thakkar (MD),PASS - Batch reactor lines for chemical synthesis.,PASS - Ahmedabad HQ.,Moderate (10),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),59 - C Band,Borderline,Consistent process controls during the batch synthesis of complex pharmaceutical excipients.
Loxim Industries,loxim.com,Ahmedabad,Basket A - Specialty Chem,Engineering plastics and specialty dyes,Rs.50-100Cr,D. Mehta (Director),PASS - Polymer compounding and dye synthesis infrastructure.,PASS - Ahmedabad HQ.,Strong (20),Moderate (8),Strong (15),Moderate (8),Strong (20),Moderate (8),79 - B Band,Fit,Differentiated compounding capabilities for highly specialized engineering plastics.
Concorde Corrugations,concorde.in,Ahmedabad,Basket C - Precision Engineering,Specialized industrial packaging machinery,Rs.30-100Cr,A. Shah (Partner),PASS - Machinery fabrication and assembly lines.,PASS - Ahmedabad HQ.,Moderate (10),Moderate (8),Moderate (8),Moderate (8),Moderate (10),Weak (0),44 - C Band,Borderline,Solid engineering footprint in manufacturing heavy-duty industrial corrugation lines.
Span Diagnostics,span.co.in,Surat/Ahmedabad,Basket B - Medical Devices,In-vitro diagnostic (IVD) kits and reagents,Rs.50-100Cr,V. Desai (MD),PASS - Controlled cleanrooms for reagent formulation.,PASS - Gujarat operations.,Strong (20),Strong (15),Strong (15),Moderate (8),Strong (20),Moderate (8),86 - A Band,Strong Fit,Maintaining rigorous environmental controls for the formulation of complex IVD diagnostic kits.
Ronson Industrial,ronson.com,Ahmedabad,Basket C - Precision Engineering,Specialized gearboxes and industrial drive systems,Rs.30-100Cr,K. Patel (Director),PASS - Gear cutting and heavy assembly shop.,PASS - Ahmedabad HQ.,Moderate (10),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),59 - C Band,Borderline,Specialized technical focus on building custom high-torque industrial drive systems.
Apex Formulations,apexform.com,Ahmedabad,Basket B - Complex APIs,Solid oral dosages and therapeutic pellets,Rs.50-100Cr,S. Shah (MD),PASS - Solid dosage formulation and encapsulation plant.,PASS - Ahmedabad HQ.,Moderate (10),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),59 - C Band,Borderline,Efficient management of formulation schedules for specialized therapeutic pellet systems.
